Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2018-19,India,56402,49950,17087,1233,27140,1808,212,2470,6452
2018-19,Andaman and Nicobar Islands,1,1,1,0,0,0,0,0,0
2018-19,Andhra Pradesh,400,389,305,0,9,1,0,74,11
2018-19,Arunachal Pradesh,47,40,31,0,3,2,3,1,7
2018-19,Assam,7952,4617,182,41,3396,321,132,545,3335
2018-19,Bihar,9647,9553,3313,85,6129,4,1,21,94
2018-19,Chandigarh,27,27,27,0,0,0,0,0,0
2018-19,Chhattisgarh,327,325,76,0,249,0,0,0,2
2018-19,Dadra and Nagar Haveli,1,1,0,0,0,0,0,1,0
2018-19,Daman and Diu,1,1,1,0,0,0,0,0,0
2018-19,Delhi,0,0,0,0,0,0,0,0,0
2018-19,Goa,0,0,0,0,0,0,0,0,0
2018-19,Gujarat,4,4,3,0,1,0,0,0,0
2018-19,Haryana,1079,1077,905,7,43,31,0,91,2
2018-19,Himachal Pradesh,1,1,1,0,0,0,0,0,0
2018-19,Jammu and Kashmir,47,45,40,0,2,2,0,1,2
2018-19,Jharkhand,7377,6989,1646,87,4588,274,9,385,388
2018-19,Karnataka,28,23,20,0,2,0,1,0,5
2018-19,Kerala,1339,1335,535,39,32,681,10,38,4
2018-19,Ladakh,0,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,1952,1671,1028,5,315,20,9,294,281
2018-19,Maharashtra,955,947,790,50,48,26,0,33,8
2018-19,Manipur,181,172,49,21,9,12,1,80,9
2018-19,Meghalaya,466,192,158,2,3,7,1,21,274
2018-19,Mizoram,93,85,71,1,0,1,0,12,8
2018-19,Nagaland,0,0,0,0,0,0,0,0,0
2018-19,Odisha,2507,2507,538,810,988,171,0,0,0
2018-19,Puducherry,0,0,0,0,0,0,0,0,0
2018-19,Punjab,280,280,230,0,7,1,0,42,0
2018-19,Rajasthan,2500,2352,1618,20,262,104,22,326,148
2018-19,Sikkim,0,0,0,0,0,0,0,0,0
2018-19,Tamil Nadu,630,536,499,10,1,2,0,24,94
2018-19,Telangana,205,198,142,5,23,7,0,21,7
2018-19,Tripura,247,199,90,0,75,10,0,24,48
2018-19,Uttar Pradesh,14570,13796,3729,40,9811,12,2,202,774
2018-19,Uttarakhand,490,486,276,1,194,4,1,10,4
2018-19,West Bengal,3048,2101,783,9,950,115,20,224,947
2019-20,India,53277,49188,19840,833,24794,1412,203,2106,4089
2019-20,Andaman and Nicobar Islands,1,1,1,0,0,0,0,0,0
2019-20,Andhra Pradesh,302,285,285,0,0,0,0,0,17
2019-20,Arunachal Pradesh,52,51,32,0,9,4,3,3,1
2019-20,Assam,7652,4715,185,46,3527,300,125,532,2937
2019-20,Bihar,9314,9262,3789,116,5335,3,0,19,52
2019-20,Chandigarh,27,27,27,0,0,0,0,0,0
2019-20,Chhattisgarh,317,316,123,0,185,3,0,5,1
2019-20,Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0
2019-20,Daman and Diu,1,1,1,0,0,0,0,0,0
