Year,State,Number of Secondary and Higher Secondary Schools - All management,Number of Secondary and Higher Secondary Schools - Government,Number of Secondary and Higher Secondary Schools - Government aided,Number of Secondary and Higher Secondary Schools - Pvt. unaided,Number of Secondary and Higher Secondary Schools - Others,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - All management,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Government,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Government aided,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Pvt. unaided,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Others,Total enrolment under NSQF at secondary/higher secondary level - All management,Total enrolment under NSQF at secondary/higher secondary level - Government,Total enrolment under NSQF at secondary/higher secondary level - Government aided,Total enrolment under NSQF at secondary/higher secondary level - Pvt. unaided,Total enrolment under NSQF at secondary/higher secondary level - Others
2018-19,India,280626,111363,43438,119353,6472,7471,7454,17,0,0,1085507,1042411,43096,0,0
2018-19,Andaman and Nicobar Islands,116,98,2,16,0,29,29,0,0,0,4151,4151,0,0,0
2018-19,Andhra Pradesh,14695,7021,604,7038,32,256,256,0,0,0,37971,37971,0,0,0
2018-19,Arunachal Pradesh,463,315,33,109,6,81,81,0,0,0,9882,9882,0,0,0
2018-19,Assam,9797,4732,1143,3124,798,216,216,0,0,0,19322,18888,434,0,0
2018-19,Bihar,8597,6017,286,1565,729,0,0,0,0,0,528,524,4,0,0
2018-19,Chandigarh,168,100,7,57,4,16,16,0,0,0,1945,1945,0,0,0
2018-19,Chhattisgarh,7093,4769,108,2216,0,535,535,0,0,0,288493,288493,0,0,0
2018-19,Dadra and Nagar Haveli,47,29,4,14,0,0,0,0,0,0,0,0,0,0,0
2018-19,Daman and Diu,48,28,4,15,1,0,0,0,0,0,0,0,0,0,0
2018-19,Delhi,2136,1090,184,862,0,21,21,0,0,0,3279,3279,0,0,0
2018-19,Goa,518,93,396,29,0,94,83,11,0,0,5095,4468,627,0,0
2018-19,Gujarat,12234,1756,5209,5265,4,17,17,0,0,0,4912,1972,2940,0,0
2018-19,Haryana,8149,3356,23,4717,53,1051,1051,0,0,0,110896,110896,0,0,0
2018-19,Himachal Pradesh,4189,2828,0,1361,0,858,858,0,0,0,77106,77106,0,0,0
2018-19,Jammu and Kashmir,4313,2573,0,1734,6,371,371,0,0,0,26223,26223,0,0,0
2018-19,Jharkhand,4926,2890,181,1194,661,111,111,0,0,0,9552,9552,0,0,0
2018-19,Karnataka,20877,6516,4452,9902,7,74,74,0,0,0,6749,6749,0,0,0
2018-19,Kerala,4889,1297,1442,1936,214,67,67,0,0,0,6294,5866,428,0,0
2018-19,Ladakh,153,121,0,32,0,0,0,0,0,0,1057,1057,0,0,0
2018-19,Lakshadweep,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,17467,9419,280,7767,1,542,542,0,0,0,82095,82095,0,0,0
2018-19,Maharashtra,27446,1903,16250,9131,162,475,475,0,0,0,62266,45180,17086,0,0
2018-19,Manipur,1160,441,92,623,4,40,40,0,0,0,6274,6274,0,0,0
2018-19,Meghalaya,1768,122,731,731,184,13,13,0,0,0,1021,1021,0,0,0
2018-19,Mizoram,869,324,157,339,49,20,20,0,0,0,1421,1421,0,0,0
2018-19,Nagaland,762,311,0,451,0,8,8,0,0,0,823,823,0,0,0
2018-19,Odisha,11913,5971,3898,1464,580,430,425,5,0,0,33894,33807,87,0,0
2018-19,Puducherry,376,140,30,206,0,0,0,0,0,0,0,0,0,0,0
2018-19,Punjab,9643,3784,367,5360,132,781,781,0,0,0,88269,88269,0,0,0
2018-19,Rajasthan,30654,14962,0,15648,44,881,881,0,0,0,110150,110150,0,0,0
2018-19,Sikkim,254,207,11,36,0,161,161,0,0,0,15223,15112,111,0,0
2018-19,Tamil Nadu,13771,6267,1810,5651,43,67,67,0,0,0,3987,3987,0,0,0
2018-19,Telangana,14246,6765,293,7182,6,192,192,0,0,0,37568,37568,0,0,0
2018-19,Tripura,1122,982,34,99,7,0,0,0,0,0,0,0,0,0,0
2018-19,Uttar Pradesh,31245,2715,4960,21495,2075,64,63,1,0,0,28690,7478,21212,0,0
2018-19,Uttarakhand,3791,2418,399,940,34,0,0,0,0,0,371,204,167,0,0
2018-19,West Bengal,10716,8988,48,1044,636,0,0,0,0,0,0,0,0,0,0
2019-20,India,285223,112674,43564,123994,4991,11038,10992,46,0,0,1210649,1208485,2164,0,0
2019-20,Andaman and Nicobar Islands,120,99,2,19,0,37,37,0,0,0,5770,5770,0,0,0
2019-20,Andhra Pradesh,15154,7141,599,7392,22,437,437,0,0,0,62094,62094,0,0,0
2019-20,Arunachal Pradesh,466,322,34,110,0,99,99,0,0,0,13939,13939,0,0,0
2019-20,Assam,9817,4735,1142,3205,735,338,338,0,0,0,24166,24166,0,0,0
