Year,State,Total,Pre-Primary Only,Pre-Primary and Primary,Primary Only,Primary and Upper Primary,Upper Primary Only,Upper Primary and Secondary,Secondary Only,Secondary and Higher Secondary,Higher Secondary Only
2018-19,India,359011,1912,2807,170505,15460,139272,4563,16627,1255,6610
2018-19,Andaman and Nicobar Islands,4,0,4,0,0,0,0,0,0,0
2018-19,Andhra Pradesh,880,0,8,277,1,531,7,0,0,56
2018-19,Arunachal Pradesh,378,5,4,221,53,62,0,8,15,10
2018-19,Assam,26187,18,110,15806,115,4199,285,4394,33,1227
2018-19,Bihar,88466,591,702,17564,5813,60665,1296,1130,286,419
2018-19,Chandigarh,445,49,29,155,13,164,23,5,7,0
2018-19,Chhattisgarh,1088,0,0,711,76,295,0,3,2,1
2018-19,Dadra and Nagar Haveli,9,3,0,6,0,0,0,0,0,0
2018-19,Daman and Diu,26,0,0,10,2,2,0,5,4,3
2018-19,Delhi,0,0,0,0,0,0,0,0,0,0
2018-19,Goa,0,0,0,0,0,0,0,0,0,0
2018-19,Gujarat,55,0,0,12,1,12,2,18,2,8
2018-19,Haryana,8908,162,48,5981,75,2405,71,95,31,40
2018-19,Himachal Pradesh,3,0,0,3,0,0,0,0,0,0
2018-19,Jammu and Kashmir,217,12,17,144,14,11,0,12,0,7
2018-19,Jharkhand,63765,165,290,30176,4569,26355,643,1339,41,187
2018-19,Karnataka,73,1,0,44,0,23,0,0,5,0
2018-19,Kerala,13617,144,61,8332,193,3572,129,854,39,293
2018-19,Ladakh,0,0,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,6542,1,2,2167,20,4352,0,0,0,0
2018-19,Maharashtra,5970,157,161,3752,128,1247,93,389,20,23
2018-19,Manipur,1907,53,66,1076,305,383,2,22,0,0
2018-19,Meghalaya,2090,22,151,765,116,259,77,507,13,180
2018-19,Mizoram,585,25,18,160,57,53,0,184,0,88
2018-19,Nagaland,0,0,0,0,0,0,0,0,0,0
2018-19,Odisha,19748,4,0,13599,528,3559,79,763,17,1199
2018-19,Puducherry,0,0,0,0,0,0,0,0,0,0
2018-19,Punjab,4565,0,0,1819,0,1084,0,805,0,857
2018-19,Rajasthan,7205,113,358,5286,123,1036,154,67,35,33
2018-19,Sikkim,0,0,0,0,0,0,0,0,0,0
2018-19,Tamil Nadu,4614,22,5,3510,114,726,137,58,17,25
2018-19,Telangana,514,0,0,370,87,44,1,12,0,0
2018-19,Tripura,1081,21,78,867,21,63,0,15,0,16
2018-19,Uttar Pradesh,69298,286,656,43155,2958,17603,1109,2661,385,485
2018-19,Uttarakhand,2595,58,39,1783,40,550,2,92,5,26
2018-19,West Bengal,28176,0,0,12754,38,10017,453,3189,298,1427
2019-20,India,325783,4632,12702,149791,26457,112920,3616,11598,722,3345
2019-20,Andaman and Nicobar Islands,3,0,3,0,0,0,0,0,0,0
2019-20,Andhra Pradesh,567,0,0,375,83,82,6,9,0,12
2019-20,Arunachal Pradesh,419,10,16,259,59,75,0,0,0,0
2019-20,Assam,24754,7,114,15151,86,3807,261,4104,25,1199
2019-20,Bihar,83759,756,1380,18894,9456,51365,609,824,148,327
2019-20,Chandigarh,452,68,25,160,35,125,27,4,8,0
2019-20,Chhattisgarh,1045,3,4,683,60,295,0,0,0,0
2019-20,Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0
2019-20,Daman and Diu,25,0,0,9,2,2,0,5,4,3
2019-20,Delhi,0,0,0,0,0,0,0,0,0,0
2019-20,Goa,0,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,47,0,0,13,0,11,0,13,3,7
2019-20,Haryana,7987,176,103,5163,383,2046,32,62,16,6
2019-20,Himachal Pradesh,3,0,0,3,0,0,0,0,0,0
2019-20,Jammu and Kashmir,707,29,62,298,43,220,6,38,0,11
2019-20,Jharkhand,61779,652,1074,28496,7037,22851,586,941,19,123
2019-20,Karnataka,59,0,2,22,6,15,8,6,0,0
2019-20,Kerala,10307,309,98,6768,340,2480,61,208,7,36
2019-20,Ladakh,0,0,0,0,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,6764,8,11,2416,184,4130,10,1,3,1
2019-20,Maharashtra,5711,201,166,3465,285,1090,109,367,7,21
2019-20,Manipur,1957,82,131,988,380,367,5,4,0,0
2019-20,Meghalaya,2528,48,280,899,159,263,106,558,12,203
2019-20,Mizoram,594,26,19,164,58,69,0,169,0,89
2019-20,Nagaland,6,1,4,1,0,0,0,0,0,0
2019-20,Odisha,10245,3,1,6845,1390,1290,123,562,7,24
2019-20,Puducherry,0,0,0,0,0,0,0,0,0,0
2019-20,Punjab,3864,270,275,1133,0,1015,0,486,0,685
2019-20,Rajasthan,7322,64,357,5305,335,1008,131,60,39,23
2019-20,Sikkim,0,0,0,0,0,0,0,0,0,0
2019-20,Tamil Nadu,4552,612,136,2246,601,635,61,170,39,52
2019-20,Telangana,479,0,24,344,78,26,0,7,0,0
2019-20,Tripura,1216,37,98,961,23,66,0,15,0,16
2019-20,Uttar Pradesh,75181,22,926,47107,4687,17550,1395,2700,349,445
2019-20,Uttarakhand,2346,30,17,1623,37,489,5,107,5,33
2019-20,West Bengal,11105,1218,7376,0,650,1548,75,178,31,29
2020-21,India,313297,4308,12934,143417,29567,105089,3949,10687,721,2625
2020-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
2020-21,Andhra Pradesh,657,0,0,381,67,182,5,10,0,12
2020-21,Arunachal Pradesh,425,11,28,240,58,88,0,0,0,0
2020-21,Assam,23979,8,130,14636,98,3628,273,3943,25,1238
2020-21,Bihar,81053,812,1455,18472,10030,48592,517,766,97,312
2020-21,Chandigarh,336,47,20,116,25,92,25,3,8,0
2020-21,Chhattisgarh,1033,2,4,670,55,302,0,0,0,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,25,0,0,9,2,2,0,5,4,3
2020-21,Delhi,0,0,0,0,0,0,0,0,0,0
2020-21,Goa,0,0,0,0,0,0,0,0,0,0
2020-21,Gujarat,37,0,0,9,0,10,1,10,3,4
2020-21,Haryana,7183,154,95,4554,452,1817,35,55,15,6
2020-21,Himachal Pradesh,3,0,0,3,0,0,0,0,0,0
2020-21,Jammu and Kashmir,751,39,68,316,70,194,8,46,0,10
2020-21,Jharkhand,59110,767,1556,26191,8096,20724,716,926,15,119
2020-21,Karnataka,55,0,2,13,7,16,8,9,0,0
2020-21,Kerala,8769,361,86,5553,342,2164,62,158,15,28
2020-21,Ladakh,0,0,0,0,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,6295,10,20,2398,233,3619,10,1,3,1
2020-21,Maharashtra,5077,184,166,3065,293,908,112,325,5,19
2020-21,Manipur,1678,77,167,840,300,283,5,6,0,0
2020-21,Meghalaya,2505,57,299,862,172,239,115,545,15,201
2020-21,Mizoram,579,25,19,161,64,75,0,162,0,73
2020-21,Nagaland,6,2,3,1,0,0,0,0,0,0
2020-21,Odisha,10194,18,10,6362,2098,962,225,472,10,37
2020-21,Puducherry,0,0,0,0,0,0,0,0,0,0
