Year,State,Percentage of Boys and Co-educational Schools with boy's toilet facility - All management,Percentage of Boys and Co-educational Schools with boy's toilet facility - Government,Percentage of Boys and Co-educational Schools with boy's toilet facility - Government aided,Percentage of Boys and Co-educational Schools with boy's toilet facility - Pvt. unaided,Percentage of Boys and Co-educational Schools with boy's toilet facility - Others,Percentage of Boys and Co-educational Schools with functional boy's toilet facility - All management,Percentage of Boys and Co-educational Schools with functional boy's toilet facility - Government,Percentage of Boys' and Co-educational Schools with functional boy's toilet facility - Government aided,Percentage of Boys and Co-educational Schools with functional boy's toilet facility - Pvt. unaided,Percentage of Boys and Co-educational Schools with functional boy's toilet facility - Others
2018-19,India,94.68,95.23,90.76,95.66,84.28,89.44,88.93,88.43,92.89,80.63
2018-19,Andaman and Nicobar Islands,99.27,99.11,100.0,100.0,100.0,98.06,97.63,100.0,100.0,100.0
2018-19,Andhra Pradesh,90.42,88.77,58.76,99.52,92.16,61.01,48.74,53.97,95.62,87.39
2018-19,Arunachal Pradesh,71.84,69.82,85.71,83.8,61.7,65.6,62.56,85.71,82.6,61.7
2018-19,Assam,77.71,89.72,38.31,84.03,24.8,70.2,81.56,31.07,78.33,19.62
2018-19,Bihar,97.75,97.61,96.8,98.46,98.38,96.8,96.56,96.04,98.1,97.75
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,98.96,98.82,99.21,99.91,99.06,83.1,81.69,87.89,93.06,73.9
2018-19,Dadra and Nagar Haveli,99.71,99.67,100.0,100.0,100.0,99.71,99.67,100.0,100.0,100.0
2018-19,Daman and Diu,99.25,99.06,100.0,100.0,100.0,99.25,99.06,100.0,100.0,100.0
2018-19,Delhi,99.98,99.95,100.0,100.0,0.0,99.98,99.95,100.0,100.0,0.0
2018-19,Goa,99.86,99.88,99.8,100.0,0.0,99.66,99.76,99.4,100.0,0.0
2018-19,Gujarat,99.65,99.51,99.76,99.94,100.0,99.65,99.51,99.76,99.94,100.0
2018-19,Haryana,98.7,97.97,100.0,99.81,99.63,98.05,96.93,100.0,99.73,99.54
2018-19,Himachal Pradesh,97.54,97.35,0.0,98.56,100.0,96.58,96.35,0.0,97.84,100.0
2018-19,Jammu and Kashmir,88.13,85.69,100.0,98.38,86.96,82.23,78.4,100.0,98.23,86.96
2018-19,Jharkhand,97.7,98.39,83.3,97.18,96.55,94.72,95.68,77.92,95.73,92.34
2018-19,Karnataka,94.1,93.36,98.68,94.3,77.78,90.47,89.2,96.78,91.35,74.07
2018-19,Kerala,98.48,98.0,98.27,99.39,99.18,98.14,97.45,97.93,99.3,99.03
2018-19,Ladakh,94.27,93.94,96.0,96.46,0.0,87.07,86.42,96.0,90.27,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,96.69,96.53,96.93,97.32,96.84,93.86,93.28,96.32,96.11,94.0
2018-19,Maharashtra,96.01,94.31,98.53,98.69,97.85,91.34,87.29,97.59,97.36,96.67
2018-19,Manipur,79.38,76.5,63.0,95.09,93.33,68.26,62.26,47.82,94.18,91.67
2018-19,Meghalaya,72.53,79.02,71.85,53.38,60.94,63.17,68.33,62.37,48.66,52.58
2018-19,Mizoram,89.02,90.12,90.83,86.13,86.02,84.14,84.07,86.03,84.38,78.49
2018-19,Nagaland,90.98,89.64,0.0,94.61,0.0,87.85,85.55,0.0,94.07,0.0
2018-19,Odisha,97.93,98.5,92.49,97.92,96.97,95.49,96.42,87.53,95.43,92.36
2018-19,Puducherry,99.57,99.24,100.0,100.0,0.0,99.43,98.99,100.0,100.0,0.0
2018-19,Punjab,99.77,99.85,91.24,100.0,100.0,94.75,93.12,90.55,98.51,99.25
2018-19,Rajasthan,91.61,90.77,0.0,93.98,80.02,80.34,77.72,0.0,85.91,70.54
2018-19,Sikkim,99.14,98.7,100.0,100.0,0.0,98.6,97.88,100.0,100.0,0.0
2018-19,Tamil Nadu,96.91,97.2,94.36,97.75,95.39,95.59,95.27,94.11,97.52,94.59
2018-19,Telangana,90.88,87.52,94.83,99.0,92.57,87.64,83.1,94.67,98.45,92.0
2018-19,Tripura,88.77,89.11,97.83,95.89,71.26,74.64,74.07,91.3,92.08,57.49
2018-19,Uttar Pradesh,95.21,96.4,93.78,93.58,92.33,92.23,93.11,91.83,91.17,88.82
2018-19,Uttarakhand,95.09,94.16,95.13,97.94,94.78,88.94,86.24,93.57,96.39,92.28
2018-19,West Bengal,98.72,99.85,99.08,92.78,91.28,96.87,98.68,96.33,86.89,86.67
2019-20,India,95.83,95.82,92.11,98.12,87.09,91.07,89.88,89.31,96.22,84.02
2019-20,Andaman and Nicobar Islands,99.28,99.12,100.0,100.0,100.0,99.28,99.12,100.0,100.0,100.0
2019-20,Andhra Pradesh,82.45,82.29,62.24,85.86,64.26,62.6,55.59,57.66,82.48,60.46
2019-20,Arunachal Pradesh,88.59,86.56,100.0,98.57,98.08,73.11,68.26,100.0,97.15,94.23
2019-20,Assam,82.46,92.25,54.01,92.58,31.4,73.53,83.26,40.91,86.45,23.13
2019-20,Bihar,98.04,97.74,97.3,99.34,99.43,97.23,96.8,97.15,99.14,99.08
2019-20,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Chhattisgarh,94.35,93.57,95.5,99.6,94.17,83.03,81.18,87.57,95.4,81.55
2019-20,Dadra and Nagar Haveli,99.71,99.67,100.0,100.0,0.0,99.71,99.67,100.0,100.0,0.0
2019-20,Daman and Diu,99.24,99.03,100.0,100.0,100.0,99.24,99.03,100.0,100.0,100.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,100.0,100.0,100.0,100.0,0.0,99.86,99.76,100.0,100.0,0.0
2019-20,Gujarat,99.54,99.41,99.45,99.9,100.0,98.48,97.76,99.42,99.9,100.0
2019-20,Haryana,98.87,98.15,100.0,99.94,99.6,98.32,97.33,100.0,99.8,99.4
2019-20,Himachal Pradesh,98.16,97.88,0.0,99.71,100.0,97.39,97.05,0.0,99.28,100.0
2019-20,Jammu and Kashmir,88.33,85.69,100.0,98.94,97.22,81.61,77.34,100.0,98.8,96.3
2019-20,Jharkhand,98.41,98.7,87.04,98.6,98.63,96.23,96.55,81.74,97.61,96.52
2019-20,Karnataka,98.92,98.46,99.71,99.77,100.0,98.49,97.82,99.62,99.74,100.0
2019-20,Kerala,98.74,98.12,98.51,99.75,99.91,98.28,97.07,98.24,99.66,99.74
2019-20,Ladakh,93.97,93.27,96.15,99.11,0.0,91.16,90.12,96.15,98.21,0.0
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,97.18,96.6,98.63,98.88,98.31,93.91,92.61,97.81,97.73,95.81
2019-20,Maharashtra,96.22,93.98,99.53,99.63,98.63,91.56,86.79,98.86,98.56,97.94
2019-20,Manipur,84.93,83.39,66.02,98.41,93.55,70.0,63.53,46.94,97.32,91.94
2019-20,Meghalaya,82.34,88.59,80.62,67.87,64.38,71.03,75.91,70.05,59.27,56.24
2019-20,Mizoram,94.62,94.86,95.63,93.97,92.63,90.53,90.0,90.39,92.15,87.37
2019-20,Nagaland,94.19,92.64,0.0,98.38,100.0,88.97,85.93,0.0,97.17,100.0
2019-20,Odisha,95.4,99.01,74.12,86.99,81.04,81.31,83.06,63.61,83.77,74.27
2019-20,Puducherry,99.86,99.75,100.0,100.0,0.0,99.86,99.75,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Rajasthan,96.31,95.5,0.0,98.65,84.38,88.37,87.25,0.0,91.32,75.96
2019-20,Sikkim,99.29,99.05,100.0,99.75,0.0,98.74,98.23,100.0,99.75,0.0
2019-20,Tamil Nadu,98.19,98.06,96.24,99.81,99.01,97.33,96.74,96.11,99.8,99.01
2019-20,Telangana,92.07,88.84,97.31,99.7,97.37,87.66,82.67,96.37,99.39,97.37
2019-20,Tripura,91.59,92.18,97.78,98.29,72.28,75.32,74.67,88.89,94.0,58.8
2019-20,Uttar Pradesh,98.5,97.96,97.68,99.37,98.5,95.98,94.57,96.38,97.94,96.51
2019-20,Uttarakhand,95.48,94.15,96.53,99.13,98.48,89.26,86.02,94.62,97.86,97.39
2019-20,West Bengal,99.74,99.92,98.63,98.95,96.28,99.74,99.92,98.63,98.94,96.28
2020-21,India,96.2,95.8,93.67,99.13,88.56,92.17,90.82,91.02,97.48,85.51
2020-21,Andaman and Nicobar Islands,99.28,99.12,100.0,100.0,0.0,99.28,99.12,100.0,100.0,0.0
2020-21,Andhra Pradesh,85.55,82.19,61.47,98.48,68.85,69.54,61.1,57.62,95.07,64.62
2020-21,Arunachal Pradesh,91.22,89.67,98.31,98.99,98.04,72.59,67.57,98.31,97.37,96.08
2020-21,Assam,84.92,93.94,58.63,94.26,36.93,76.65,85.98,45.28,88.81,27.59
2020-21,Bihar,97.85,97.51,97.21,99.36,99.43,97.06,96.59,96.76,99.19,99.12
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Chhattisgarh,98.08,97.83,97.63,99.82,97.39,94.89,94.37,95.25,98.47,92.83
2020-21,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,100.0,100.0,100.0,100.0,0.0,99.93,100.0,99.8,100.0,0.0
2020-21,Gujarat,99.27,98.99,99.51,99.9,100.0,97.39,96.08,99.41,99.89,100.0
2020-21,Haryana,98.74,97.93,100.0,99.96,99.68,98.24,97.15,100.0,99.88,99.36
2020-21,Himachal Pradesh,98.72,98.53,0.0,99.78,100.0,98.07,97.85,0.0,99.35,100.0
2020-21,Jammu and Kashmir,88.82,86.27,100.0,98.92,99.07,81.97,77.73,100.0,98.76,99.07
2020-21,Jharkhand,98.31,98.55,87.44,98.68,98.71,96.21,96.38,83.57,98.34,96.87
2020-21,Karnataka,97.18,95.86,99.55,99.64,100.0,96.29,94.51,99.48,99.59,100.0
2020-21,Kerala,99.02,98.21,99.12,99.78,99.81,98.53,96.98,98.93,99.69,99.61
2020-21,Ladakh,96.12,95.74,96.15,99.11,0.0,94.17,93.5,96.15,99.11,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,97.73,97.15,99.02,99.41,99.06,95.27,94.15,98.18,98.51,97.14
2020-21,Maharashtra,96.88,94.97,99.65,99.83,99.25,92.7,88.41,99.22,98.96,98.63
2020-21,Manipur,87.89,86.76,71.45,98.92,96.3,74.24,69.53,50.09,97.65,95.06
2020-21,Meghalaya,85.08,90.97,83.07,72.62,65.99,72.66,76.86,71.45,63.43,58.64
2020-21,Mizoram,95.03,95.19,95.2,94.76,93.02,91.28,90.49,90.39,93.52,89.53
2020-21,Nagaland,93.92,92.15,0.0,98.65,100.0,88.66,85.37,0.0,97.43,100.0
2020-21,Odisha,97.92,99.3,90.28,95.94,89.4,90.39,91.24,80.93,93.54,84.23
2020-21,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,97.5,96.69,0.0,99.54,89.41,90.13,88.97,0.0,92.93,80.41
2020-21,Sikkim,99.6,99.53,100.0,99.75,0.0,99.12,98.82,100.0,99.75,0.0
2020-21,Tamil Nadu,98.24,98.13,96.24,99.81,98.8,97.42,96.89,96.11,99.8,98.8
2020-21,Telangana,83.51,77.04,85.74,98.84,93.2,70.8,58.96,81.3,98.47,91.84
2020-21,Tripura,92.42,93.02,100.0,98.32,73.58,74.49,73.61,93.02,93.58,59.62
2020-21,Uttar Pradesh,98.34,97.58,97.5,99.45,98.61,96.22,94.74,96.55,98.19,96.92
2020-21,Uttarakhand,95.36,93.93,96.86,99.25,98.79,89.52,86.29,95.3,98.08,96.98
2020-21,West Bengal,99.83,99.93,98.53,99.37,97.59,99.83,99.93,98.53,99.37,97.59
2021-22,India,96.2,95.5,95.1,99.3,90.9,92.7,91.2,92.8,98.0,88.2
2021-22,Andaman and Nicobar Islands,99.8,99.7,100.0,100.0,0.0,99.5,99.4,100.0,100.0,0.0
2021-22,Andhra Pradesh,87.4,83.5,78.9,99.6,91.4,85.4,80.8,77.7,99.5,90.9
2021-22,Arunachal Pradesh,94.3,93.3,100.0,98.8,97.9,69.0,63.0,100.0,97.4,95.7
2021-22,Assam,86.4,92.8,62.5,95.9,40.0,77.5,83.9,49.6,90.8,30.5
2021-22,Bihar,97.6,97.2,96.6,99.2,99.4,96.6,96.0,96.2,99.1,99.1
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,98.7,98.5,98.4,100.0,99.7,94.1,93.3,97.0,99.2,95.7
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100.0,0.0,99.9,99.9,99.8,100.0,0.0
2021-22,Gujarat,99.3,98.9,99.6,99.9,100.0,97.3,96.0,99.5,99.9,100.0
2021-22,Haryana,98.5,97.5,100.0,100.0,99.8,97.8,96.5,100.0,99.9,99.4
2021-22,Himachal Pradesh,98.7,98.5,0.0,99.9,100.0,98.0,97.7,0.0,99.6,100.0
2021-22,Jammu and Kashmir,87.9,85.2,100.0,98.8,97.0,80.0,75.4,100.0,98.6,97.0
2021-22,Jharkhand,98.2,98.4,88.7,99.0,98.8,96.0,96.1,83.9,98.6,97.3
2021-22,Karnataka,96.5,94.9,99.5,99.5,100.0,95.3,93.1,99.4,99.4,100.0
2021-22,Kerala,99.3,98.7,99.5,99.8,100.0,99.1,98.1,99.4,99.7,99.7
2021-22,Ladakh,97.9,97.7,96.0,100.0,0.0,95.6,95.0,96.0,100.0,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,97.9,97.4,99.7,99.6,98.7,94.5,93.0,98.2,98.8,97.0
2021-22,Maharashtra,96.5,94.4,99.6,99.8,99.7,92.4,88.0,99.2,99.0,99.7
2021-22,Manipur,87.8,86.8,70.3,99.0,97.0,75.4,71.0,52.2,98.4,95.5
2021-22,Meghalaya,86.8,92.2,84.8,75.3,68.6,73.5,77.1,72.4,65.4,61.0
2021-22,Mizoram,94.3,93.9,93.4,95.4,95.2,87.1,84.0,89.0,94.2,90.5
2021-22,Nagaland,91.5,88.9,0.0,98.0,100.0,76.3,68.8,0.0,95.8,100.0
2021-22,Odisha,94.9,95.1,86.9,99.0,97.8,88.8,88.7,79.7,97.4,94.0
2021-22,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Punjab,98.9,98.5,99.8,99.9,100.0,98.5,97.9,99.8,99.9,100.0
