Year,State,Number of Teachers - Total,Number of Teachers - Primary (1-5),Number of Teachers - Upper Primary (1-8),Number of Teachers - Upper Primary (6-8),Number of Teachers -  Secondary (1-10),Number of Teachers - Secondary (6-10),Number of Teachers - Secondary (9-10),Number of Teachers - Higher Secondary (1-12),Number of Teachers - Higher Secondary (6-12),Number of Teachers - Higher Secondary (9-12),Number of Teachers - Higher Secondary (11-12)
2018-19,India,819847,82153,109482,53544,93941,61988,54565,147462,128408,57895,30409
2018-19,Andaman and Nicobar Islands,73,0,0,0,0,0,0,73,0,0,0
2018-19,Andhra Pradesh,8815,3287,1270,0,51,2910,0,0,32,0,1265
2018-19,Arunachal Pradesh,924,80,180,0,355,0,0,309,0,0,0
2018-19,Assam,37131,0,21,25506,107,1554,6593,169,475,20,2686
2018-19,Bihar,3677,93,1614,87,448,481,297,29,256,372,0
2018-19,Chandigarh,289,0,0,0,0,0,0,226,63,0,0
2018-19,Chhattisgarh,2674,741,347,284,84,4,3,448,491,272,0
2018-19,Dadra and Nagar Haveli,82,19,0,0,63,0,0,0,0,0,0
2018-19,Daman and Diu,142,0,0,0,25,0,0,75,42,0,0
2018-19,Delhi,5018,258,136,52,133,217,0,2806,1413,3,0
2018-19,Goa,8551,529,43,32,3836,2296,7,0,0,0,1808
2018-19,Gujarat,49787,433,1444,1210,25,89,6920,732,1398,37228,308
2018-19,Haryana,568,20,0,0,43,12,0,413,80,0,0
2018-19,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2018-19,Jammu and Kashmir,17,0,17,0,0,0,0,0,0,0,0
2018-19,Jharkhand,5496,892,2695,38,142,1153,87,104,152,32,201
2018-19,Karnataka,55044,808,17392,131,1002,536,27339,252,111,3286,4187
2018-19,Kerala,111995,20339,26029,5605,2434,6681,1461,6329,30303,12756,58
2018-19,Ladakh,67,55,12,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,4905,893,877,177,62,47,123,1026,1015,677,8
2018-19,Maharashtra,298860,20864,40147,4,81889,19316,115,114813,8412,184,13116
2018-19,Manipur,2669,1080,439,118,453,342,61,49,0,0,127
2018-19,Meghalaya,17882,6508,98,4376,87,1799,3136,156,441,605,676
2018-19,Mizoram,1826,0,0,512,0,0,977,0,0,0,337
2018-19,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2018-19,Odisha,31873,653,165,2806,308,15236,7169,0,22,0,5514
2018-19,Puducherry,955,28,0,0,377,0,0,550,0,0,0
2018-19,Punjab,5669,195,204,9,388,138,2,3438,1295,0,0
2018-19,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2018-19,Sikkim,211,16,12,0,15,14,0,123,31,0,0
2018-19,Tamil Nadu,76030,21513,12847,120,407,5069,13,3106,32839,116,0
2018-19,Telangana,3234,1066,395,0,363,1315,0,0,0,0,95
2018-19,Tripura,1214,32,12,0,63,0,2,838,267,0,0
2018-19,Uttar Pradesh,77729,1219,2970,11760,701,2424,224,10497,45786,2130,18
2018-19,Uttarakhand,4913,58,72,702,36,299,36,633,2858,214,5
2018-19,West Bengal,1527,474,44,15,44,56,0,268,626,0,0
2019-20,India,820301,83486,107986,53002,93278,62630,51103,147145,133795,56385,31491
2019-20,Andaman and Nicobar Islands,72,0,0,0,0,0,0,72,0,0,0
2019-20,Andhra Pradesh,7616,2624,1015,0,42,2765,0,0,34,0,1136
2019-20,Arunachal Pradesh,986,93,197,0,362,0,0,334,0,0,0
2019-20,Assam,36349,4,29,24826,109,1552,6502,173,443,20,2691
2019-20,Bihar,3824,82,1573,78,437,459,446,28,294,344,83
2019-20,Chandigarh,308,0,0,0,0,0,0,229,79,0,0
2019-20,Chhattisgarh,2687,701,347,298,102,4,7,455,473,300,0
2019-20,Dadra and Nagar Haveli,61,0,0,0,61,0,0,0,0,0,0
2019-20,Daman and Diu,131,0,0,0,24,0,0,35,72,0,0
2019-20,Delhi,5027,254,141,54,127,218,0,2839,1391,3,0
2019-20,Goa,8527,534,49,30,3863,2255,6,0,0,0,1790
2019-20,Gujarat,47700,415,1400,1256,14,100,6750,339,1159,36014,253
2019-20,Haryana,451,7,0,0,47,6,0,386,5,0,0
2019-20,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2019-20,Jammu and Kashmir,17,0,0,0,17,0,0,0,0,0,0
