Year,State,Percentage of Schools having ramps with handrails for CWSN - All management,Percentage of Schools having ramps with handrails for CWSN - Government,Percentage of Schools having ramps with handrails for CWSN - Government aided,Percentage of Schools having ramps with handrails for CWSN - Pvt. unaided,Percentage of Schools having ramps with handrails for CWSN - Others
2018-19,India,41.32,48.44,36.38,23.75,13.61
2018-19,Andaman and Nicobar Islands,22.46,24.78,0.0,12.5,0.0
2018-19,Andhra Pradesh,21.44,26.53,5.29,9.77,5.5
2018-19,Arunachal Pradesh,12.55,13.94,10.94,4.97,2.13
2018-19,Assam,47.72,66.02,2.25,4.82,0.89
2018-19,Bihar,34.88,39.02,20.77,19.03,14.97
2018-19,Chandigarh,49.34,56.2,28.57,54.05,11.11
2018-19,Chhattisgarh,37.94,42.9,9.91,6.23,0.92
2018-19,Dadra and Nagar Haveli,78.03,88.67,10.0,8.57,0.0
2018-19,Daman and Diu,62.86,71.43,25.0,30.43,0.0
2018-19,Delhi,58.0,69.5,31.23,48.54,0.0
2018-19,Goa,50.4,81.99,10.51,8.63,0.0
2018-19,Gujarat,54.5,68.8,32.73,26.75,25.0
2018-19,Haryana,39.03,43.59,53.85,33.83,15.57
2018-19,Himachal Pradesh,53.91,61.85,0.0,9.83,0.0
2018-19,Jammu and Kashmir,11.76,13.2,0.0,5.74,0.0
2018-19,Jharkhand,33.37,39.87,6.71,15.43,9.35
2018-19,Karnataka,37.96,49.02,19.1,17.87,3.57
2018-19,Kerala,49.07,68.47,58.23,13.34,11.43
2018-19,Ladakh,7.02,7.23,0.0,7.08,0.0
2018-19,Lakshadweep,22.22,22.22,0.0,0.0,0.0
2018-19,Madhya Pradesh,29.34,29.04,33.07,31.4,15.63
2018-19,Maharashtra,72.9,81.81,65.17,53.88,34.24
2018-19,Manipur,36.83,51.9,17.72,7.58,4.97
2018-19,Meghalaya,14.59,23.56,5.09,3.38,3.0
2018-19,Mizoram,17.63,25.59,3.9,2.34,1.08
2018-19,Nagaland,13.77,16.69,0.0,5.91,0.0
2018-19,Odisha,65.15,71.04,33.81,46.3,44.12
2018-19,Puducherry,52.5,81.32,9.09,14.49,0.0
2018-19,Punjab,51.22,63.07,14.85,26.72,32.86
2018-19,Rajasthan,33.19,41.46,0.0,19.63,3.48
2018-19,Sikkim,10.39,14.05,0.0,3.36,0.0
2018-19,Tamil Nadu,42.49,56.81,20.54,15.35,11.9
2018-19,Telangana,18.59,21.78,5.37,11.2,17.56
2018-19,Tripura,18.99,20.89,17.39,6.12,4.05
2018-19,Uttar Pradesh,45.59,57.41,34.41,29.2,17.91
2018-19,Uttarakhand,32.98,41.99,9.25,10.22,7.76
2018-19,West Bengal,41.84,48.14,36.22,4.91,13.52
2019-20,India,43.73,50.66,38.2,28.7,13.36
2019-20,Andaman and Nicobar Islands,29.9,33.63,0.0,13.7,0.0
2019-20,Andhra Pradesh,22.71,27.66,8.24,11.19,7.28
2019-20,Arunachal Pradesh,13.37,14.46,10.77,7.51,7.69
2019-20,Assam,49.95,68.69,2.57,5.38,0.97
2019-20,Bihar,36.43,40.77,24.41,20.72,16.33
2019-20,Chandigarh,51.09,59.5,28.57,54.05,11.11
2019-20,Chhattisgarh,43.24,48.37,16.47,11.26,1.26
2019-20,Dadra and Nagar Haveli,88.73,99.67,75.0,11.9,0.0
2019-20,Daman and Diu,85.4,88.99,100.0,69.57,0.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,50.81,81.62,11.99,11.59,0.0
2019-20,Gujarat,56.3,71.18,34.55,27.72,33.33
2019-20,Haryana,40.44,45.23,41.18,34.73,17.95
2019-20,Himachal Pradesh,56.76,65.17,0.0,10.3,0.0
2019-20,Jammu and Kashmir,12.57,14.15,0.0,6.16,4.46
2019-20,Jharkhand,34.52,41.09,7.25,17.02,9.07
2019-20,Karnataka,39.48,49.7,23.85,19.77,5.26
2019-20,Kerala,51.2,70.0,60.71,15.45,12.67
2019-20,Ladakh,6.07,6.24,0.0,6.25,0.0
2019-20,Lakshadweep,22.22,22.22,0.0,0.0,0.0
2019-20,Madhya Pradesh,30.5,30.29,32.66,32.01,16.59
2019-20,Maharashtra,74.64,82.79,67.86,57.29,36.64
2019-20,Manipur,37.44,53.41,19.49,8.28,6.42
2019-20,Meghalaya,17.64,28.38,6.46,4.32,3.8
2019-20,Mizoram,17.33,25.31,4.33,2.29,0.0
2019-20,Nagaland,14.5,17.75,0.0,5.76,0.0
2019-20,Odisha,69.41,75.38,32.51,59.94,42.3
2019-20,Puducherry,56.41,84.12,18.18,19.93,0.0
2019-20,Punjab,98.26,97.41,100.0,100.0,100.0
2019-20,Rajasthan,36.11,45.29,0.0,21.13,4.0
2019-20,Sikkim,10.57,14.1,5.26,3.44,0.0
2019-20,Tamil Nadu,28.12,37.15,13.94,11.18,9.54
2019-20,Telangana,34.04,23.8,10.54,61.82,27.72
2019-20,Tripura,20.12,22.22,22.22,6.53,4.1
2019-20,Uttar Pradesh,42.12,55.2,33.8,27.67,16.66
2019-20,Uttarakhand,34.81,44.25,9.72,11.08,7.66
2019-20,West Bengal,50.7,57.19,7.53,6.7,6.68
2020-21,India,48.31,56.91,39.88,29.71,13.33
2020-21,Andaman and Nicobar Islands,33.09,36.55,0.0,17.81,0.0
2020-21,Andhra Pradesh,24.45,29.52,9.01,12.36,7.72
2020-21,Arunachal Pradesh,12.93,13.92,10.45,7.66,7.84
