Year,State,Percentage of Schools with functional computer facility - All management,Percentage of Schools with functional computer facility - Government,Percentage of Schools with functional computer facility - Government aided,Percentage of Schools with functional computer facility - Pvt. unaided,Percentage of Schools with functional computer facility - Others
2018-19,India,33.49,27.18,55.16,51.0,20.9
2018-19,Andaman and Nicobar Islands,50.48,41.3,100.0,91.67,100.0
2018-19,Andhra Pradesh,28.88,14.92,7.97,72.06,9.75
2018-19,Arunachal Pradesh,14.76,10.41,40.63,37.38,31.91
2018-19,Assam,12.23,11.45,5.53,37.97,1.46
2018-19,Bihar,10.71,5.4,14.04,38.97,32.13
2018-19,Chandigarh,98.25,98.35,100.0,100.0,92.59
2018-19,Chhattisgarh,92.95,98.18,36.41,62.67,24.16
2018-19,Dadra and Nagar Haveli,71.1,69.33,60.0,88.57,100.0
2018-19,Daman and Diu,90.71,91.96,100.0,82.61,100.0
2018-19,Delhi,91.48,92.24,84.19,91.37,0.0
2018-19,Goa,47.98,16.45,87.55,90.65,0.0
2018-19,Gujarat,68.61,64.57,83.38,72.82,50.0
2018-19,Haryana,46.73,30.06,73.08,75.39,60.06
2018-19,Himachal Pradesh,31.68,22.25,0.0,84.09,0.0
2018-19,Jammu and Kashmir,21.13,12.56,100.0,57.46,42.55
2018-19,Jharkhand,55.59,62.1,21.24,50.64,30.3
2018-19,Karnataka,92.02,91.13,93.81,93.52,100.0
2018-19,Kerala,86.1,88.72,88.84,81.75,71.77
2018-19,Ladakh,28.56,24.97,25.0,58.41,0.0
2018-19,Lakshadweep,91.11,91.11,0.0,0.0,0.0
2018-19,Madhya Pradesh,6.38,3.51,8.01,18.54,2.92
2018-19,Maharashtra,66.97,56.54,80.92,85.19,74.35
2018-19,Manipur,26.01,11.29,5.79,77.87,54.14
2018-19,Meghalaya,11.88,7.73,15.47,18.2,18.88
2018-19,Mizoram,45.36,35.84,73.59,61.66,58.06
2018-19,Nagaland,38.48,28.2,0.0,66.17,0.0
2018-19,Odisha,9.84,11.87,1.99,0.32,1.91
2018-19,Puducherry,86.47,87.0,78.79,86.57,0.0
2018-19,Punjab,53.72,40.31,79.69,82.15,77.5
2018-19,Rajasthan,41.86,29.37,0.0,66.96,20.56
2018-19,Sikkim,55.74,50.0,52.63,67.63,0.0
2018-19,Tamil Nadu,49.12,45.38,33.29,70.8,54.6
2018-19,Telangana,31.94,21.19,29.0,59.95,17.07
2018-19,Tripura,13.59,9.93,52.17,53.06,15.38
2018-19,Uttar Pradesh,11.94,3.38,36.46,25.84,10.71
2018-19,Uttarakhand,31.4,20.02,56.01,62.76,40.61
2018-19,West Bengal,11.07,10.86,30.71,10.48,18.21
2019-20,India,37.13,28.55,61.84,58.48,28.88
2019-20,Andaman and Nicobar Islands,60.05,53.51,100.0,89.04,100.0
2019-20,Andhra Pradesh,35.07,20.87,12.44,77.99,25.83
2019-20,Arunachal Pradesh,23.65,14.23,83.08,72.01,44.23
2019-20,Assam,12.7,11.44,5.2,42.95,1.33
2019-20,Bihar,13.83,5.58,15.26,57.16,42.47
2019-20,Chandigarh,99.13,99.17,100.0,100.0,96.3
2019-20,Chhattisgarh,83.0,85.72,40.14,69.19,30.91
2019-20,Dadra and Nagar Haveli,83.82,83.0,100.0,88.1,0.0
2019-20,Daman and Diu,97.08,97.25,100.0,95.65,100.0
2019-20,Delhi,93.88,93.75,87.6,94.61,0.0
2019-20,Goa,49.87,17.65,89.75,93.48,0.0
2019-20,Gujarat,73.95,68.55,87.64,81.95,66.67
2019-20,Haryana,52.21,31.9,82.35,85.59,72.38
2019-20,Himachal Pradesh,33.2,23.54,0.0,86.65,0.0
2019-20,Jammu and Kashmir,23.68,14.16,100.0,62.69,46.43
2019-20,Jharkhand,73.39,79.61,28.3,72.27,49.18
2019-20,Karnataka,46.34,34.37,67.39,68.46,31.58
2019-20,Kerala,92.44,92.76,95.77,89.24,79.59
2019-20,Ladakh,31.31,26.94,27.59,67.86,0.0
2019-20,Lakshadweep,97.78,97.78,0.0,0.0,0.0
2019-20,Madhya Pradesh,13.28,5.61,17.85,37.92,8.24
2019-20,Maharashtra,71.07,60.22,85.1,90.0,81.07
2019-20,Manipur,29.68,12.73,6.15,85.02,63.64
2019-20,Meghalaya,13.27,8.39,17.34,21.2,19.71
2019-20,Mizoram,48.04,38.17,74.89,64.72,64.21
2019-20,Nagaland,42.39,31.13,0.0,72.65,100.0
2019-20,Odisha,25.46,15.96,66.33,63.37,42.11
2019-20,Puducherry,88.53,85.78,81.82,93.36,0.0
2019-20,Punjab,56.89,42.86,85.12,86.05,80.19
2019-20,Rajasthan,44.21,30.99,0.0,70.34,25.16
2019-20,Sikkim,60.38,53.7,57.89,74.45,0.0
2019-20,Tamil Nadu,76.55,79.12,45.89,89.32,77.63
2019-20,Telangana,35.34,23.17,28.92,67.29,16.3
2019-20,Tripura,15.08,10.5,64.44,61.93,18.28
2019-20,Uttar Pradesh,17.7,4.76,42.08,35.07,14.69
2019-20,Uttarakhand,34.65,22.26,61.59,68.98,41.06
2019-20,West Bengal,13.66,12.48,40.86,22.36,16.61
2020-21,India,39.88,31.11,60.44,62.7,31.21
2020-21,Andaman and Nicobar Islands,61.39,55.56,100.0,87.67,0.0
2020-21,Andhra Pradesh,36.88,22.22,15.79,81.64,35.44
