Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,92.7,91.2,99.8,100,99.6,91.2,92.8,98.0,88.2
2021-22,Andaman and Nicobar Islands,99.5,99.4,100.0,100,0.0,99.4,100.0,100.0,0.0
2021-22,Andhra Pradesh,85.4,80.8,95.1,100,100.0,80.8,77.7,99.5,90.9
2021-22,Arunachal Pradesh,69.0,63.0,100.0,100,100.0,62.5,100.0,97.4,95.7
2021-22,Assam,77.5,83.9,100.0,100,100.0,83.9,49.6,90.8,30.5
2021-22,Bihar,96.6,96.0,100.0,100,100.0,96.0,96.2,99.1,99.1
2021-22,Chandigarh,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,94.1,93.3,100.0,100,100.0,93.3,97.0,99.2,95.7
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100,0.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100.0,100,0.0,100.0,100.0,100.0,0.0
2021-22,Goa,99.9,99.9,100.0,100,0.0,99.9,99.8,100.0,0.0
2021-22,Gujarat,97.3,96.0,100.0,100,100.0,96.0,99.5,99.9,100.0
2021-22,Haryana,97.8,96.5,100.0,100,100.0,96.5,100.0,99.9,99.4
2021-22,Himachal Pradesh,98.0,97.7,100.0,100,100.0,97.7,0.0,99.6,100.0
2021-22,Jammu and Kashmir,80.0,75.4,100.0,100,0.0,75.4,100.0,98.6,97.0
2021-22,Jharkhand,96.0,96.1,100.0,100,100.0,96.0,83.9,98.6,97.3
2021-22,Karnataka,95.3,93.1,100.0,100,100.0,93.1,99.4,99.4,100.0
2021-22,Kerala,99.1,98.1,100.0,100,100.0,98.1,99.4,99.7,99.7
2021-22,Ladakh,95.6,95.0,100.0,100,100.0,94.9,96.0,100.0,0.0
2021-22,Lakshadweep,100.0,100.0,100.0,100,0.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,94.5,93.0,100.0,100,100.0,93.0,98.2,98.8,97.0
2021-22,Maharashtra,92.4,88.0,100.0,100,100.0,88.0,99.2,99.0,99.7
2021-22,Manipur,75.4,71.0,100.0,100,100.0,70.8,52.2,98.4,95.5
2021-22,Meghalaya,73.5,77.1,100.0,100,0.0,77.0,72.4,65.4,61.0
2021-22,Mizoram,87.1,84.0,100.0,100,100.0,83.9,89.0,94.2,90.5
2021-22,Nagaland,76.3,68.8,100.0,100,100.0,68.5,0.0,95.8,100.0
2021-22,Odisha,88.8,88.7,100.0,100,100.0,88.7,79.7,97.4,94.0
2021-22,Puducherry,100.0,100.0,100.0,100,0.0,100.0,100.0,100.0,0.0
2021-22,Punjab,98.5,97.9,100.0,100,100.0,97.9,99.8,99.9,100.0
2021-22,Rajasthan,90.8,89.6,100.0,100,100.0,89.6,0.0,93.7,81.6
2021-22,Sikkim,99.0,98.6,100.0,100,100.0,98.6,100.0,99.7,0.0
2021-22,Tamil Nadu,99.9,99.9,100.0,0,100.0,99.9,99.5,99.9,99.6
2021-22,Telangana,70.0,57.8,97.1,100,87.5,57.7,80.5,98.2,91.9
2021-22,Tripura,72.9,71.7,100.0,100,0.0,71.6,95.4,94.7,58.1
2021-22,Uttar Pradesh,96.5,95.2,100.0,100,100.0,95.2,96.4,98.3,97.0
2021-22,Uttarakhand,89.4,86.1,100.0,100,100.0,86.1,95.3,98.3,95.3
2021-22,West Bengal,99.8,99.9,100.0,100,100.0,99.9,100.0,99.4,97.8
