Year,State,Percentage of Schools with ramps for CWSN - All management,Percentage of Schools with ramps for CWSN - Government,Percentage of Schools with ramps for CWSN - Government aided,Percentage of Schools with ramps for CWSN - Pvt. unaided,Percentage of Schools with ramps for CWSN - Others
2018-19,India,63.71,73.71,54.14,39.6,25.31
2018-19,Andaman and Nicobar Islands,47.34,52.51,0.0,25.0,0.0
2018-19,Andhra Pradesh,37.73,45.01,15.26,20.95,16.25
2018-19,Arunachal Pradesh,20.46,22.05,17.19,12.13,6.38
2018-19,Assam,56.23,76.95,5.29,8.55,2.09
2018-19,Bihar,70.26,78.91,42.84,33.41,31.0
2018-19,Chandigarh,71.18,80.99,42.86,75.68,22.22
2018-19,Chhattisgarh,63.43,69.19,33.64,26.48,18.96
2018-19,Dadra and Nagar Haveli,82.66,92.0,20.0,22.86,0.0
2018-19,Daman and Diu,80.71,89.29,50.0,47.83,0.0
2018-19,Delhi,74.35,88.79,50.2,61.55,0.0
2018-19,Goa,53.9,84.15,16.34,11.51,0.0
2018-19,Gujarat,80.85,96.5,58.86,49.72,75.0
2018-19,Haryana,63.04,73.89,65.38,47.86,28.36
2018-19,Himachal Pradesh,67.29,76.84,0.0,14.25,0.0
2018-19,Jammu and Kashmir,34.19,38.65,0.0,15.48,0.0
2018-19,Jharkhand,62.24,72.76,24.21,33.57,22.49
2018-19,Karnataka,47.71,58.01,33.09,27.93,3.57
2018-19,Kerala,67.56,86.39,81.2,25.86,22.18
2018-19,Ladakh,30.74,33.19,14.29,15.04,0.0
2018-19,Lakshadweep,91.11,91.11,0.0,0.0,0.0
2018-19,Madhya Pradesh,74.26,78.52,72.43,58.58,42.78
2018-19,Maharashtra,88.83,95.27,85.26,73.14,50.26
2018-19,Manipur,47.81,65.57,24.36,14.16,8.84
2018-19,Meghalaya,20.81,31.85,10.12,5.41,5.36
2018-19,Mizoram,44.34,62.56,19.48,7.8,6.45
2018-19,Nagaland,34.99,43.35,0.0,12.48,0.0
2018-19,Odisha,69.72,75.98,35.48,50.51,47.99
2018-19,Puducherry,63.19,92.67,21.21,24.03,0.0
2018-19,Punjab,62.49,74.08,34.5,38.08,45.0
2018-19,Rajasthan,56.39,64.68,0.0,43.97,9.92
2018-19,Sikkim,17.83,21.19,5.26,11.51,0.0
2018-19,Tamil Nadu,62.86,78.9,50.57,24.77,17.3
2018-19,Telangana,38.65,45.7,14.99,22.21,26.83
2018-19,Tripura,50.54,55.19,52.17,19.53,12.15
2018-19,Uttar Pradesh,66.22,81.62,54.52,44.2,32.41
2018-19,Uttarakhand,54.76,68.23,25.32,20.08,17.14
2018-19,West Bengal,68.54,77.47,57.48,16.91,25.52
