Year,State,Percentage of Girls and Co-educational Schools with girl's toilet facility - All management,Percentage of Girls and Co-educational Schools with girl's toilet facility - Government,Percentage of Girls and Co-educational Schools with girl's toilet facility - Government aided,Percentage of Girls and Co-educational Schools with girl's toilet facility - Pvt. unaided,Percentage of Girls and Co-educational Schools with girl's toilet facility - Others,Percentage of Girls and Co-educational Schools with functional girl's toilet facility - All management,Percentage of Girls and Co-educational Schools with functional girl's toilet facility - Government,Percentage of Girls and Co-educational Schools with functional girl's toilet facility - Government aided,Percentage of Girls and Co-educational Schools with functional girl's toilet facility - Pvt. unaided,Percentage of Girls and Co-educational Schools with functional girl's toilet facility - Others
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,97.77,97.47,98.68,98.68,97.6,95.12,94.47,97.49,97.09,95.0
2019-20,Maharashtra,97.49,96.1,99.72,99.57,95.03,93.77,90.42,99.09,98.44,94.57
2019-20,Manipur,83.47,81.0,66.27,98.92,91.35,70.8,64.27,49.83,98.32,87.57
2019-20,Meghalaya,76.87,81.73,77.09,62.91,62.03,67.05,70.73,67.5,56.3,54.43
2019-20,Mizoram,93.07,92.63,96.97,93.4,91.58,89.45,88.28,91.77,92.07,86.32
2019-20,Nagaland,93.73,92.09,0.0,98.12,100.0,89.95,87.36,0.0,96.92,100.0
2019-20,Odisha,94.8,99.08,70.1,85.76,77.68,84.44,86.63,67.41,84.23,74.24
2019-20,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Rajasthan,97.0,96.57,0.0,98.7,84.23,90.66,90.81,0.0,91.43,75.55
2019-20,Sikkim,99.25,99.62,80.0,99.26,0.0,98.83,99.23,73.33,99.01,0.0
2019-20,Tamil Nadu,99.62,99.59,99.37,99.87,99.67,99.44,99.32,99.33,99.85,99.67
2019-20,Telangana,97.09,95.93,99.42,99.89,94.48,93.53,91.0,98.7,99.59,94.48
2019-20,Tripura,90.24,90.98,100.0,96.86,68.05,77.02,76.76,97.67,93.14,56.77
2019-20,Uttar Pradesh,98.7,98.32,98.23,99.38,98.17,96.39,95.34,96.9,97.9,96.23
2019-20,Uttarakhand,95.51,94.21,96.91,98.99,99.35,90.97,88.38,95.02,97.83,98.28
2019-20,West Bengal,99.75,99.95,98.68,98.76,95.96,99.75,99.95,98.68,98.76,95.96
2020-21,India,97.32,97.45,94.44,99.07,87.9,93.91,93.31,92.42,97.4,85.2
2020-21,Andaman and Nicobar Islands,99.76,100.0,100.0,98.63,0.0,99.52,99.71,100.0,98.63,0.0
2020-21,Andhra Pradesh,94.26,93.42,82.87,98.46,74.25,78.32,72.86,76.36,94.22,69.96
2020-21,Arunachal Pradesh,87.41,85.14,98.44,98.99,98.04,71.72,66.68,98.44,96.97,96.08
2020-21,Assam,86.76,97.04,59.88,94.16,33.78,81.38,92.57,48.65,89.23,26.19
2020-21,Bihar,98.47,98.23,98.9,99.71,99.33,97.83,97.52,98.48,99.37,98.99
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Chhattisgarh,99.33,99.25,99.49,99.92,98.67,98.56,98.42,98.71,99.51,98.34
2020-21,Daman and Diu and Dadra and Nagar Haveli,99.79,100.0,100.0,98.41,0.0,99.79,100.0,100.0,98.41,0.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Gujarat,99.54,99.35,99.73,99.92,100.0,98.13,97.17,99.66,99.9,100.0
2020-21,Haryana,98.68,97.85,100.0,99.95,99.79,98.06,96.94,100.0,99.79,99.47
2020-21,Himachal Pradesh,99.13,99.02,0.0,99.75,100.0,98.59,98.48,0.0,99.16,100.0
2020-21,Jammu and Kashmir,89.71,87.66,100.0,98.1,88.35,84.34,81.0,100.0,97.89,87.38
2020-21,Jharkhand,99.02,99.31,87.64,99.8,99.18,97.27,97.55,84.91,99.48,97.3
2020-21,Karnataka,99.0,98.53,99.92,99.83,100.0,98.43,97.67,99.83,99.8,100.0
2020-21,Kerala,99.53,98.92,99.76,99.97,99.51,99.2,97.96,99.75,99.81,99.42
2020-21,Ladakh,92.5,91.64,100.0,99.11,0.0,90.94,89.99,100.0,98.21,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,98.51,98.25,99.19,99.29,98.4,96.52,96.03,98.11,98.01,96.37
2020-21,Maharashtra,98.05,96.93,99.83,99.74,94.7,94.78,91.87,99.43,98.84,94.45
2020-21,Manipur,86.27,84.45,70.89,99.22,91.93,74.16,69.15,51.88,98.54,88.82
2020-21,Meghalaya,79.63,84.07,79.73,67.6,63.24,68.75,71.62,69.29,60.56,56.25
2020-21,Mizoram,93.43,93.0,95.67,94.1,91.86,90.52,89.4,91.77,93.14,88.37
2020-21,Nagaland,93.78,92.0,0.0,98.52,100.0,89.44,86.52,0.0,97.17,100.0
2020-21,Odisha,97.64,99.45,87.81,95.21,87.02,89.67,89.83,85.19,93.96,84.11
2020-21,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,97.92,97.39,0.0,99.49,90.07,92.01,91.92,0.0,92.96,81.13
2020-21,Sikkim,99.41,99.74,80.0,99.49,0.0,99.16,99.62,73.33,99.23,0.0
2020-21,Tamil Nadu,99.64,99.61,99.38,99.88,99.66,99.46,99.35,99.33,99.86,99.66
2020-21,Telangana,91.63,88.75,88.52,98.88,90.85,79.64,71.74,85.17,98.53,90.85
2020-21,Tripura,90.74,91.48,100.0,97.21,68.56,75.54,75.05,97.56,92.74,56.82
2020-21,Uttar Pradesh,98.7,98.23,98.2,99.45,98.36,96.72,95.7,97.21,98.14,96.65
2020-21,Uttarakhand,95.61,94.27,96.89,99.2,99.8,91.15,88.56,95.16,98.05,98.01
2020-21,West Bengal,99.85,99.96,98.57,99.28,97.45,99.85,99.96,98.57,99.28,97.45
2021-22,India,97.5,97.4,95.5,99.3,90.3,94.7,94.0,93.6,97.9,87.9
2021-22,Andaman and Nicobar Islands,99.8,100.0,100.0,98.6,0.0,99.5,99.7,100.0,98.6,0.0
2021-22,Andhra Pradesh,97.5,96.9,96.4,99.7,94.7,96.6,95.6,95.2,99.6,93.5
2021-22,Arunachal Pradesh,91.4,89.9,100.0,98.6,97.9,68.8,62.9,100.0,97.0,95.7
2021-22,Assam,88.5,96.0,64.7,95.3,36.8,82.6,90.6,53.5,90.9,29.3
2021-22,Bihar,98.5,98.2,98.4,99.7,99.4,97.6,97.3,98.1,99.4,99.1
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,99.6,99.5,100.0,100.0,100.0,97.9,97.6,99.2,99.7,99.3
2021-22,Daman and Diu and Dadra and Nagar Haveli,99.6,99.7,100.0,98.4,0.0,99.6,99.7,100.0,98.4,0.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,99.5,99.3,99.8,99.9,100.0,98.0,97.0,99.7,99.9,100.0
2021-22,Haryana,98.3,97.3,100.0,100.0,99.8,97.6,96.2,100.0,99.8,99.4
2021-22,Himachal Pradesh,99.2,99.0,0.0,99.9,100.0,98.6,98.5,0.0,99.4,100.0
2021-22,Jammu and Kashmir,89.2,87.0,100.0,98.3,82.1,83.0,79.4,100.0,98.1,81.1
2021-22,Jharkhand,99.0,99.2,89.6,99.9,99.2,97.1,97.2,85.6,99.6,97.7
2021-22,Karnataka,98.7,98.1,99.9,99.8,100.0,97.9,97.0,99.8,99.7,100.0
2021-22,Kerala,99.6,99.0,99.9,100.0,99.9,99.5,98.6,99.8,99.8,99.8
2021-22,Ladakh,93.9,93.2,100.0,99.1,0.0,92.6,91.8,100.0,98.2,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,98.6,98.3,99.6,99.5,98.3,95.9,95.1,98.2,98.4,96.4
2021-22,Maharashtra,97.8,96.5,99.8,99.8,94.3,94.6,91.6,99.3,98.9,94.3
2021-22,Manipur,87.0,85.6,71.0,99.7,92.5,75.4,70.8,53.6,99.3,88.7
2021-22,Meghalaya,81.8,86.0,81.6,70.9,65.0,69.7,72.0,70.3,62.9,58.1
2021-22,Mizoram,93.0,92.0,94.4,95.2,94.1,86.9,83.4,91.3,94.2,90.5
2021-22,Nagaland,90.6,88.1,0.0,97.1,100.0,77.1,70.0,0.0,95.5,100.0
2021-22,Odisha,96.1,96.8,87.1,98.9,96.7,90.2,89.8,84.5,98.0,95.0
2021-22,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Punjab,99.6,99.5,100.0,100.0,91.7,99.4,99.2,100.0,100.0,91.7
2021-22,Rajasthan,98.0,97.4,0.0,99.6,91.0,92.6,92.5,0.0,93.7,82.2
2021-22,Sikkim,99.5,99.9,80.0,99.5,0.0,99.2,99.5,73.3,99.5,0.0
2021-22,Tamil Nadu,99.7,99.9,98.6,99.8,100.0,99.6,99.9,98.2,99.7,99.8
2021-22,Telangana,91.5,88.6,87.7,98.7,91.6,78.8,70.6,84.6,98.4,91.6
2021-22,Tripura,89.7,90.3,100.0,97.2,66.8,74.6,74.0,100.0,93.1,55.2
2021-22,Uttar Pradesh,98.8,98.3,98.4,99.5,98.4,97.1,96.3,97.5,98.3,96.8
2021-22,Uttarakhand,95.7,94.3,96.9,99.4,99.4,90.8,88.1,94.6,98.2,95.9
2021-22,West Bengal,99.9,100.0,98.6,99.4,97.5,99.9,100.0,98.6,99.3,97.4
