Year,State,Percentage of Schools with computer facility - All management,Percentage of Schools with computer facility - Government,Percentage of Schools with computer facility - Government aided,Percentage of Schools with computer facility - Pvt. unaided,Percentage of Schools with computer facility - Others
2019-20,Goa,50.81,18.98,90.14,94.2,0.0
2019-20,Gujarat,75.36,69.95,88.77,83.51,66.67
2019-20,Haryana,53.59,33.91,82.35,86.0,72.48
2019-20,Himachal Pradesh,34.07,24.3,0.0,88.05,0.0
2019-20,Jammu and Kashmir,24.04,14.58,100.0,62.85,46.43
2019-20,Jharkhand,73.99,80.28,28.56,72.54,49.56
2019-20,Karnataka,48.37,36.47,68.97,70.49,36.84
2019-20,Kerala,93.41,93.74,97.08,89.58,80.19
2019-20,Ladakh,31.88,27.6,27.59,67.86,0.0
2019-20,Lakshadweep,97.78,97.78,0.0,0.0,0.0
2019-20,Madhya Pradesh,13.59,5.85,17.85,38.5,8.35
2019-20,Maharashtra,74.24,64.58,86.57,91.28,83.41
2019-20,Manipur,31.07,14.5,7.01,85.71,64.71
2019-20,Meghalaya,13.63,8.74,17.68,21.66,20.07
2019-20,Mizoram,49.26,39.46,77.06,65.58,65.26
2019-20,Nagaland,44.82,34.16,0.0,73.46,100.0
2019-20,Odisha,25.83,16.18,67.1,64.56,42.76
2019-20,Puducherry,92.31,92.42,81.82,93.36,0.0
2019-20,Punjab,67.23,57.03,86.43,88.55,82.7
2019-20,Rajasthan,46.75,32.51,0.0,74.67,29.71
2019-20,Sikkim,61.86,55.23,57.89,75.92,0.0
2019-20,Tamil Nadu,78.06,80.82,47.05,90.47,79.44
2019-20,Telangana,36.14,23.93,29.63,68.2,16.3
2019-20,Tripura,15.83,11.11,68.89,63.64,19.4
2019-20,Uttar Pradesh,18.42,5.33,43.32,35.98,15.44
2019-20,Uttarakhand,36.93,24.89,62.72,70.35,43.19
2019-20,West Bengal,13.87,12.62,40.86,23.06,17.23
2020-21,India,41.25,32.54,61.49,64.04,32.17
2020-21,Andaman and Nicobar Islands,62.83,57.02,100.0,89.04,0.0
2020-21,Andhra Pradesh,38.54,23.85,17.21,83.39,39.65
2020-21,Arunachal Pradesh,26.61,16.53,86.57,77.02,62.75
2020-21,Assam,16.22,15.73,5.5,47.08,1.4
2020-21,Bihar,14.49,5.63,16.33,62.0,46.05
2020-21,Chandigarh,99.57,99.17,100.0,100.0,100.0
2020-21,Chhattisgarh,84.6,86.98,46.28,72.79,36.31
2020-21,Daman and Diu and Dadra and Nagar Haveli,89.77,89.19,100.0,92.06,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,51.59,19.49,90.8,94.2,0.0
2020-21,Gujarat,93.03,94.31,96.33,88.48,66.67
2020-21,Haryana,55.2,35.09,88.24,88.28,76.08
2020-21,Himachal Pradesh,34.94,25.23,0.0,89.25,0.0
2020-21,Jammu and Kashmir,28.31,18.5,100.0,68.07,53.1
2020-21,Jharkhand,79.32,84.79,31.23,81.78,57.97
2020-21,Karnataka,49.05,34.84,68.69,77.52,47.06
2020-21,Kerala,96.39,95.26,99.4,94.23,87.66
2020-21,Ladakh,34.85,30.05,31.03,75.0,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,16.69,6.96,23.03,47.46,11.29
2020-21,Maharashtra,76.24,66.69,88.22,93.22,86.04
2020-21,Manipur,33.29,17.03,7.69,88.9,61.96
2020-21,Meghalaya,14.67,8.99,19.37,23.96,22.79
2020-21,Mizoram,51.44,41.4,79.22,68.38,68.6
2020-21,Nagaland,47.11,36.05,0.0,76.45,100.0
2020-21,Odisha,19.74,14.41,17.35,58.67,39.24
2020-21,Puducherry,96.76,94.31,100.0,100.0,0.0
2020-21,Punjab,98.78,99.74,89.23,97.31,35.29
2020-21,Rajasthan,48.02,33.67,0.0,76.63,31.14
2020-21,Sikkim,78.78,77.2,63.16,82.95,0.0
2020-21,Tamil Nadu,77.99,80.79,47.05,90.16,80.07
2020-21,Telangana,38.31,24.96,31.86,72.33,17.88
2020-21,Tripura,21.52,17.02,69.77,69.72,20.68
2020-21,Uttar Pradesh,20.98,5.89,46.13,40.68,18.2
2020-21,Uttarakhand,41.59,29.09,68.73,77.0,42.52
2020-21,West Bengal,15.97,14.33,49.43,28.48,20.85
2021-22,India,47.5,37.7,68.5,73.3,40.4
2021-22,Andaman and Nicobar Islands,66.8,60.2,100.0,97.2,0.0
2021-22,Andhra Pradesh,51.6,37.4,33.7,95.8,63.5
2021-22,Arunachal Pradesh,34.0,22.7,95.6,89.3,72.3
2021-22,Assam,18.9,17.1,8.4,55.3,2.5
2021-22,Bihar,18.9,9.0,21.4,71.3,55.1
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,89.4,91.8,52.8,76.6,42.2
2021-22,Daman and Diu and Dadra and Nagar Haveli,89.1,87.9,100.0,95.2,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,55.3,21.7,94.3,95.7,0.0
2021-22,Gujarat,98.0,98.4,99.2,96.6,100.0
2021-22,Haryana,93.2,92.6,87.5,95.2,83.5
2021-22,Himachal Pradesh,40.5,31.3,0.0,94.3,0.0
2021-22,Jammu and Kashmir,33.4,22.6,100.0,78.1,65.7
2021-22,Jharkhand,85.2,89.0,37.5,90.6,71.2
2021-22,Karnataka,56.4,40.7,78.0,88.5,81.8
2021-22,Kerala,98.3,96.2,99.9,98.6,96.3
2021-22,Ladakh,46.2,41.1,35.7,87.5,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,26.0,12.4,40.0,67.1,25.4
2021-22,Maharashtra,81.4,72.3,93.4,97.3,93.0
2021-22,Manipur,37.0,21.5,8.6,93.2,70.4
2021-22,Meghalaya,18.3,11.2,23.3,31.5,29.9
2021-22,Mizoram,53.5,43.2,81.7,71.5,70.2
2021-22,Nagaland,57.4,45.6,0.0,87.7,100.0
2021-22,Odisha,26.4,18.3,33.6,77.5,60.8
2021-22,Puducherry,99.6,99.3,100.0,100.0,0.0
2021-22,Punjab,99.6,100.0,92.4,99.1,64.3
2021-22,Rajasthan,52.0,36.9,0.0,83.2,35.0
2021-22,Sikkim,89.9,88.1,73.7,94.9,0.0
2021-22,Tamil Nadu,78.4,81.0,47.8,91.1,79.1
2021-22,Telangana,42.9,27.6,37.6,81.1,20.4
2021-22,Tripura,32.6,28.8,74.4,81.3,19.9
2021-22,Uttar Pradesh,27.0,8.1,55.8,51.2,25.6
2021-22,Uttarakhand,58.3,49.2,77.1,85.3,52.4
2021-22,West Bengal,18.4,16.0,61.4,36.6,28.3
