Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,94.7,94.0,99.8,100,97.7,94.0,93.6,97.9,87.9
2021-22,Andaman and Nicobar Islands,99.5,99.7,100.0,100,0.0,99.7,100.0,98.6,0.0
2021-22,Andhra Pradesh,96.6,95.6,97.6,100,100.0,95.6,95.2,99.6,93.5
2021-22,Arunachal Pradesh,68.8,62.9,100.0,100,100.0,62.5,100.0,97.0,95.7
2021-22,Assam,82.6,90.6,100.0,100,83.3,90.5,53.5,90.9,29.3
2021-22,Bihar,97.6,97.3,100.0,100,100.0,97.3,98.1,99.4,99.1
2021-22,Chandigarh,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,97.9,97.6,100.0,100,100.0,97.6,99.2,99.7,99.3
2021-22,Daman and Diu and Dadra and Nagar Haveli,99.6,99.7,100.0,100,0.0,99.7,100.0,98.4,0.0
2021-22,Delhi,100.0,100.0,100.0,100,0.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100,0.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,98.0,97.0,100.0,100,100.0,97.0,99.7,99.9,100.0
2021-22,Haryana,97.6,96.2,100.0,100,100.0,96.2,100.0,99.8,99.4
2021-22,Himachal Pradesh,98.6,98.5,100.0,100,100.0,98.5,0.0,99.4,100.0
2021-22,Jammu and Kashmir,83.0,79.4,100.0,100,0.0,79.3,100.0,98.1,81.1
2021-22,Jharkhand,97.1,97.2,100.0,100,100.0,97.2,85.6,99.6,97.7
2021-22,Karnataka,97.9,97.0,100.0,100,100.0,97.0,99.8,99.7,100.0
2021-22,Kerala,99.5,98.6,100.0,100,100.0,98.6,99.8,99.8,99.8
2021-22,Ladakh,92.6,91.8,100.0,100,100.0,91.8,100.0,98.2,0.0
2021-22,Lakshadweep,100.0,100.0,100.0,100,0.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,95.9,95.1,100.0,100,100.0,95.1,98.2,98.4,96.4
2021-22,Maharashtra,94.6,91.6,100.0,100,100.0,91.5,99.3,98.9,94.3
2021-22,Manipur,75.4,70.8,100.0,100,100.0,70.5,53.6,99.3,88.7
2021-22,Meghalaya,69.7,72.0,100.0,100,0.0,71.9,70.3,62.9,58.1
2021-22,Mizoram,86.9,83.4,100.0,100,100.0,83.3,91.3,94.2,90.5
2021-22,Nagaland,77.1,70.0,100.0,100,100.0,69.7,0.0,95.5,100.0
2021-22,Odisha,90.2,89.8,100.0,100,75.0,89.8,84.5,98.0,95.0
2021-22,Puducherry,100.0,100.0,100.0,100,0.0,100.0,100.0,100.0,0.0
2021-22,Punjab,99.4,99.2,100.0,100,100.0,99.2,100.0,100.0,91.7
2021-22,Rajasthan,92.6,92.5,100.0,100,92.9,92.4,0.0,93.7,82.2
2021-22,Sikkim,99.2,99.5,100.0,100,100.0,99.5,73.3,99.5,0.0
2021-22,Tamil Nadu,99.6,99.9,100.0,0,100.0,99.9,98.2,99.7,99.8
2021-22,Telangana,78.8,70.6,97.1,100,87.5,70.5,84.6,98.4,91.6
2021-22,Tripura,74.6,74.0,100.0,100,0.0,73.9,100.0,93.1,55.2
2021-22,Uttar Pradesh,97.1,96.3,100.0,100,100.0,96.3,97.5,98.3,96.8
2021-22,Uttarakhand,90.8,88.1,100.0,100,85.7,88.1,94.6,98.2,95.9
2021-22,West Bengal,99.9,100.0,100.0,100,100.0,100.0,98.6,99.3,97.4
