Year,State,Percentage of Schools with library facility - All management,Percentage of Schools with library facility - Government,Percentage of Schools with library facility - Government aided,Percentage of Schools with library facility - Pvt. unaided,Percentage of Schools with library facility - Others
2018-19,India,80.57,83.94,82.91,74.3,48.74
2018-19,Andaman and Nicobar Islands,98.31,98.23,100.0,98.61,100.0
2018-19,Andhra Pradesh,88.29,84.66,82.18,99.28,97.25
2018-19,Arunachal Pradesh,24.1,20.48,65.63,42.54,14.89
2018-19,Assam,75.76,90.22,48.17,62.44,17.61
2018-19,Bihar,59.11,58.27,64.33,70.01,58.03
2018-19,Chandigarh,96.07,99.17,100.0,100.0,70.37
2018-19,Chhattisgarh,86.92,88.8,71.43,76.0,55.96
2018-19,Dadra and Nagar Haveli,98.27,100.0,70.0,91.43,100.0
2018-19,Daman and Diu,100.0,100.0,100.0,100.0,100.0
2018-19,Delhi,96.3,98.46,94.07,94.26,0.0
2018-19,Goa,98.79,100.0,98.25,93.53,0.0
2018-19,Gujarat,91.58,95.87,90.32,81.04,75.0
2018-19,Haryana,93.61,96.14,84.62,91.42,75.9
2018-19,Himachal Pradesh,92.46,94.48,0.0,81.25,100.0
2018-19,Jammu and Kashmir,63.36,61.19,100.0,72.66,55.32
2018-19,Jharkhand,91.53,97.02,92.27,94.43,64.08
2018-19,Karnataka,90.03,91.43,91.52,86.1,78.57
2018-19,Kerala,95.11,97.21,98.39,90.91,79.61
2018-19,Ladakh,46.39,43.48,50.0,69.03,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,92.68,93.58,87.99,90.48,71.82
2018-19,Maharashtra,95.49,97.56,95.27,89.57,79.06
2018-19,Manipur,21.76,8.46,8.69,68.59,30.39
2018-19,Meghalaya,8.74,9.48,7.41,8.69,8.37
2018-19,Mizoram,77.49,94.77,54.55,42.83,39.78
2018-19,Nagaland,38.52,35.08,0.0,47.79,0.0
2018-19,Odisha,94.66,95.5,94.28,91.83,82.45
2018-19,Puducherry,100.0,100.0,100.0,100.0,0.0
2018-19,Punjab,99.04,98.93,85.15,100.0,100.0
2018-19,Rajasthan,71.59,70.93,0.0,75.91,27.76
2018-19,Sikkim,88.53,94.26,73.68,77.46,0.0
2018-19,Tamil Nadu,95.03,96.3,95.36,91.78,78.57
2018-19,Telangana,92.44,93.53,88.54,90.52,56.1
2018-19,Tripura,53.67,55.26,69.57,50.15,27.94
2018-19,Uttar Pradesh,63.48,72.35,65.17,51.65,34.28
2018-19,Uttarakhand,82.19,85.67,80.36,74.61,49.8
2018-19,West Bengal,82.44,87.5,75.59,51.4,65.03
2019-20,India,84.08,88.05,85.19,77.09,49.76
2019-20,Andaman and Nicobar Islands,99.52,99.71,100.0,98.63,100.0
2019-20,Andhra Pradesh,89.02,86.32,84.06,97.25,87.75
2019-20,Arunachal Pradesh,42.39,38.84,81.54,60.45,30.77
2019-20,Assam,79.07,92.81,51.87,67.48,21.48
2019-20,Bihar,61.7,60.12,66.44,76.66,61.36
2019-20,Chandigarh,97.38,100.0,100.0,100.0,77.78
2019-20,Chhattisgarh,91.64,93.63,75.64,80.17,62.78
2019-20,Dadra and Nagar Haveli,98.55,100.0,100.0,88.1,0.0
2019-20,Daman and Diu,100.0,100.0,100.0,100.0,100.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,98.99,100.0,98.84,93.48,0.0
2019-20,Gujarat,95.53,99.06,96.47,86.24,66.67
2019-20,Haryana,95.87,98.65,94.12,93.56,74.68
2019-20,Himachal Pradesh,94.3,96.04,0.0,84.67,0.0
2019-20,Jammu and Kashmir,66.2,64.15,100.0,74.84,59.82
2019-20,Jharkhand,92.37,97.18,92.58,95.27,66.93
2019-20,Karnataka,92.86,93.95,93.73,89.86,89.47
2019-20,Kerala,96.47,98.32,99.04,93.14,82.14
2019-20,Ladakh,47.91,44.47,62.07,72.32,0.0
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,92.85,94.25,88.86,89.69,74.25
2019-20,Maharashtra,96.82,98.68,96.42,91.71,82.63
2019-20,Manipur,24.79,10.74,9.23,72.32,31.55
2019-20,Meghalaya,12.09,13.54,9.95,11.6,9.76
2019-20,Mizoram,80.33,97.26,65.8,46.18,36.84
2019-20,Nagaland,39.2,34.86,0.0,50.8,100.0
2019-20,Odisha,94.62,95.02,92.58,95.26,85.71
2019-20,Puducherry,100.0,100.0,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0
2019-20,Rajasthan,74.4,74.35,0.0,77.69,28.8
2019-20,Sikkim,89.35,94.48,84.21,78.87,0.0
2019-20,Tamil Nadu,100.0,100.0,100.0,100.0,100.0
2019-20,Telangana,92.5,93.65,86.89,90.5,53.8
2019-20,Tripura,60.79,63.2,71.11,54.26,29.1
2019-20,Uttar Pradesh,73.13,88.51,68.5,56.69,37.11
2019-20,Uttarakhand,87.2,91.17,81.52,78.85,50.21
2019-20,West Bengal,85.25,90.66,66.67,48.09,50.22
2020-21,India,85.58,89.48,86.26,78.73,52.02
2020-21,Andaman and Nicobar Islands,99.52,99.71,100.0,98.63,0.0
2020-21,Andhra Pradesh,90.33,88.1,86.37,97.27,88.42
2020-21,Arunachal Pradesh,42.59,38.03,85.07,64.92,43.14
2020-21,Assam,84.14,96.96,59.44,73.07,28.99
2020-21,Bihar,60.61,58.63,65.44,77.77,61.75
