Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2018-19,India,84623,18556,12290,10339,7281,8736,8098,5816,6817,4151,2539
2018-19,Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
2018-19,Andhra Pradesh,2346,1464,278,0,6,454,0,0,1,0,143
2018-19,Arunachal Pradesh,64,11,20,0,24,0,0,9,0,0,0
2018-19,Assam,5065,0,3,3919,6,108,768,5,27,5,224
2018-19,Bihar,698,41,345,26,66,94,60,4,26,36,0
2018-19,Chandigarh,7,0,0,0,0,0,0,6,1,0,0
2018-19,Chhattisgarh,434,214,44,68,6,1,1,23,43,34,0
2018-19,Dadra and Nagar Haveli,10,6,0,0,4,0,0,0,0,0,0
2018-19,Daman and Diu,4,0,0,0,1,0,0,2,1,0,0
2018-19,Delhi,253,47,11,11,11,14,0,93,65,1,0
2018-19,Goa,514,105,6,7,165,142,2,0,0,0,87
2018-19,Gujarat,5734,70,177,278,3,13,1951,36,82,3073,51
2018-19,Haryana,26,3,0,0,3,2,0,13,5,0,0
2018-19,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2018-19,Jammu and Kashmir,1,0,1,0,0,0,0,0,0,0,0
2018-19,Jharkhand,1177,499,482,15,14,115,10,17,9,3,13
2018-19,Karnataka,7417,235,2673,57,74,42,3433,15,9,272,607
2018-19,Kerala,7195,3373,1809,571,97,290,105,112,568,265,5
2018-19,Ladakh,28,25,3,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,874,391,150,53,7,5,23,76,83,85,1
2018-19,Maharashtra,23554,3170,4133,1,6488,3785,28,4455,787,19,688
2018-19,Manipur,587,400,69,26,33,38,16,1,0,0,4
2018-19,Meghalaya,4181,2505,17,928,5,134,470,6,18,38,60
2018-19,Mizoram,231,0,0,74,0,0,138,0,0,0,19
2018-19,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2018-19,Odisha,5770,274,35,1563,40,2212,1037,0,3,0,606
2018-19,Puducherry,33,3,0,0,19,0,0,11,0,0,0
2018-19,Punjab,458,54,34,3,50,27,1,188,101,0,0
2018-19,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
